LABEL,DIFF,EXCL,NEG,NGTNEG,NGTPOS,POS,W1,W2,W3,W4,W5
1,-1,0,1,1,0,0,it's,burns',visuals,",",characters
1,0,0,2,0,0,2,a,sexy,",",surprising,romance
1,1,0,0,0,0,1,nicely,serves,as,an,examination
1,1,0,1,0,0,2,by,the,time,we,learn
0,2,0,1,0,0,3,the,mystery,of,enigma,is
1,3,0,0,0,0,3,the,cast,is,uniformly,excellent
0,-1,0,1,0,0,0,reeks,of,rot,and,hack
0,-2,0,2,0,0,0,the,story,bogs,down,in
0,0,0,1,0,0,1,a,sub-formulaic,slap,in,the
0,-1,0,1,0,0,0,mattei,is,tiresomely,grave,and
0,0,0,1,0,0,1,the,thrill,is,(,long
1,1,0,1,0,0,2,the,emperor's,club,",",ruthless
1,0,0,0,0,0,0,impresses,you,with,its,open-endedness
1,2,0,0,0,0,2,efteriades,gives,the,neighborhood,--
0,0,0,1,0,0,1,this,follow-up,seems,so,similar
1,0,0,1,0,0,1,if,the,film,has,a
0,0,0,0,0,0,0,chokes,on,its,own,depiction
1,1,0,0,0,0,1,chilling,",",well-acted,",",and
0,-1,0,1,0,0,0,.,.,.,little,more
0,0,0,1,0,0,1,unfortunately,",",kapur,modernizes,a
1,1,0,0,0,0,1,a,beautifully,observed,character,piece
1,2,0,1,0,0,3,funny,",",sexy,",",devastating
0,-3,0,3,0,0,0,desperately,unfunny,when,it,tries
1,0,0,1,0,0,1,while,guzmn,frustratingly,refuses,to
0,-2,0,2,0,0,0,circuit,queens,won't,learn,a
0,0,0,1,0,1,1,no,reason,for,anyone,to
0,0,0,1,0,0,1,if,myers,decides,to,make
1,1,0,2,0,0,3,an,enchanting,spectacular,for,potter
0,-1,0,1,0,0,0,not,since,freddy,got,fingered
0,1,0,0,0,0,1,barry,sonnenfeld,owes,frank,the
0,1,0,1,0,0,2,will,probably,stay,in,the
0,0,0,1,0,0,1,the,movie,is,gorgeously,made
1,-3,0,4,0,0,1,this,may,be,dover,kosashvili's
0,0,0,0,0,0,0,a,93-minute,condensation,of,a
1,0,0,1,0,0,1,an,ingenious,and,often,harrowing
1,1,0,1,0,0,2,the,acting,",",costumes,","
1,4,0,1,0,0,5,a,buoyant,romantic,comedy,about
0,0,0,0,0,0,0,the,only,thing,i,laughed
0,2,0,0,0,0,2,with,the,exception,of,some
1,-1,0,2,0,0,1,there,is,little,question,that
0,-2,0,3,0,0,1,collateral,damage,is,",",despite
1,0,0,0,0,0,0,if,you're,in,the,mood
0,2,0,0,0,0,2,just,another,disjointed,",",fairly
1,3,0,0,0,0,3,waydowntown,is,by,no,means
1,-3,0,3,0,0,0,the,film's,strength,isn't,in
0,3,0,1,0,0,4,all,ms,.,jovovich,","
1,1,0,0,0,0,1,merchant,effectively,translates,naipaul's,lively
1,0,0,2,0,0,2,'charly',will,divide,its,audience
1,-1,0,3,0,0,2,a,typically,observant,",",carefully
0,2,0,2,0,1,4,the,humor,isn't,as,sharp
0,-2,0,2,0,0,0,there's,suspension,of,disbelief,and
0,1,0,0,0,0,1,dilbert,without,the,right-on,satiric
0,-1,0,2,0,0,1,it's,been,13,months,and
0,0,0,0,0,0,0,a,fifty,car,pileup,of
1,2,0,0,0,0,2,a,remarkable,179-minute,meditation,on
1,1,0,0,0,0,1,the,film,presents,visceral,and
0,-1,0,1,0,0,0,if,you,think,that,jennifer
0,-1,0,1,0,0,0,forced,",",familiar,and,thoroughly
0,2,0,1,0,0,3,there's,no,point,of,view
1,0,0,2,0,0,2,mr,.,parker,has,brilliantly
0,-1,0,1,0,0,0,hey,",",at,least,the
1,0,0,1,0,0,1,a,disoriented,but,occasionally,disarming
1,2,0,1,0,0,3,a,memorable,experience,that,","
0,3,0,0,0,0,3,let's,issue,a,moratorium,","
0,3,0,1,0,0,4,judd's,characters,ought,to,pick
1,0,0,0,0,0,0,this,orange,has,some,juice
1,2,0,1,0,0,3,i,stopped,thinking,about,how
0,3,0,1,0,0,4,it's,sweet,",",harmless,","
1,1,0,0,0,0,1,.,.,.,a,lesson
1,2,0,1,0,0,3,awesome,creatures,",",breathtaking,scenery
1,4,0,1,1,1,5,fans,of,the,animated,wildlife
1,-1,0,1,0,0,0,uses,high,comedy,to,evoke
0,0,0,1,0,0,1,i,saw,knockaround,guys,yesterday
0,0,0,1,0,0,1,gets,better,after,foster,leaves
0,-1,0,2,0,0,1,the,story's,so,preposterous,that
0,-2,0,2,0,0,0,despite,the,authenticity,of,the
1,1,0,1,0,0,2,the,inhospitability,of,the,land
1,0,0,1,0,0,1,the,re-release,of,ron,howard's
0,1,0,0,0,0,1,what,will,",",most,likely
1,3,0,0,0,0,3,if,you,sometimes,like,to
1,0,0,1,0,0,1,for,the,first,time,in
0,0,0,1,0,0,1,some,elements,of,it,really
1,3,0,1,0,0,4,an,intelligent,",",earnest,","
0,1,0,0,0,0,1,the,overall,feel,is,not
1,2,0,0,0,0,2,[drumline],is,entertaining,for,what
1,-3,0,3,0,0,0,murderous,maids,pulls,no,punches
1,1,0,1,0,0,2,still,pretentious,and,filled,with
1,0,1,1,0,0,1,if,you,dig,on,david
1,0,0,1,0,0,1,a,backstage,must-see,for,true
0,0,0,0,0,0,0,it,seems,to,me,the
0,-1,0,2,0,0,1,the,humor,is,forced,and
1,-1,0,2,0,0,1,methodical,",",measured,",",and
0,-1,0,1,0,0,0,it's,a,bad,thing,when
0,-1,0,1,0,0,0,a,compendium,of,solondz's,own
0,-1,0,1,0,0,0,illiterate,",",often,inert,sci-fi
0,-2,0,2,0,0,0,despite,its,title,",",amy's
0,-1,0,1,0,0,0,suffers,from,rambling,",",repetitive
1,0,0,0,0,0,0,.,.,.,a,roller-coaster
1,3,0,0,0,0,3,it's,a,brave,attempt,to
1,1,0,0,0,1,1,there,are,no,special,effects
1,4,0,1,0,0,5,hardly,a,masterpiece,",",but
0,-2,0,2,0,0,0,divertingly,ridiculous,",",headbangingly,noisy
0,-1,0,2,0,0,1,in,the,wake,of,saving
1,0,0,1,0,0,1,sound,the,trumpets,:,for
1,2,0,0,0,0,2,dogtown,and,z-boys,more,than
1,2,0,0,0,0,2,ice,cube,holds,the,film
0,1,0,0,0,0,1,"""",the,road,paved,with
1,3,0,0,0,0,3,warm,water,under,a,red
1,1,0,0,0,0,1,an,absorbing,",",slice-of-depression,life
1,2,0,1,0,0,3,despite,what,anyone,believes,about
1,1,0,0,0,0,1,rubbo,runs,through,a,remarkable
1,-2,0,2,0,0,0,it's,not,life-affirming,its,vulgar
0,-1,0,1,0,0,0,when,the,plot,kicks,in
0,4,0,0,0,0,4,as,exciting,as,all,this
1,-1,0,2,0,0,1,triple,x,is,a,double
0,1,0,0,0,1,1,not,even,the,hanson,brothers
1,-2,0,4,0,0,2,whether,writer-director,anne,fontaine's,film
0,-1,0,1,0,0,0,diane,lane,shines,in,unfaithful
0,-2,0,2,0,0,0,abandons,all,pretense,of,creating
1,0,0,0,0,0,0,cho,continues,her,exploration,of
0,2,0,0,0,0,2,the,humor,is,hinged,on
1,2,0,0,0,0,2,westfeldt,and,juergensen,exude,a
0,-4,0,5,0,0,1,choppy,editing,and,too,many
0,0,0,0,0,0,0,while,the,script,starts,promisingly
0,0,0,2,0,0,2,nothing,but,one,relentlessly,depressing
0,2,0,1,0,0,3,this,idea,has,lost,its
1,2,0,1,0,0,3,for,the,first,two-thirds,of
1,4,1,0,0,0,4,so,unassuming,and,pure,of
0,-2,0,2,0,0,0,it's,hard,to,believe,these
0,3,0,0,0,0,3,the,film,doesn't,have,enough
0,-1,0,1,0,0,0,low,rent,from,frame,one
1,2,0,0,0,0,2,visually,engrossing,",",seldom,hammy
0,-1,0,1,0,0,0,drags,along,in,a,dazed
0,2,0,1,0,0,3,in,its,own,way,","
1,0,0,2,0,0,2,a,strangely,compelling,and,brilliantly
1,1,0,0,0,0,1,good,ol',urban,legend,stuff
0,2,0,0,0,0,2,skins,has,a,right,to
1,1,0,0,0,0,1,reign,of,fire,looks,as
0,-2,0,3,0,0,1,christina,ricci,comedy,about,sympathy
0,3,0,0,0,0,3,the,adventure,doesn't,contain,half
1,4,0,0,0,0,4,it's,traditional,moviemaking,all,the
0,-1,0,1,0,0,0,self-congratulatory,",",misguided,",",and
0,0,0,0,0,0,0,adam,sandler,is,to,gary
0,-1,0,1,0,0,0,this,is,junk,food,cinema
1,-1,0,3,0,0,2,a,triumph,",",relentless,and
1,3,0,2,0,0,5,it's,a,treat,a,delightful
0,2,0,1,0,0,3,outer-space,buffs,might,love,this
0,0,0,0,0,0,0,partway,through,watching,this,saccharine
1,2,0,1,0,0,3,far,more,imaginative,and,ambitious
1,0,0,1,0,0,1,the,story,ultimately,takes,hold
0,2,0,0,0,0,2,a,piece,of,mildly,entertaining
0,-2,0,2,0,0,0,with,the,cheesiest,monsters,this
1,0,0,1,0,0,1,what,could,have,been,a
0,1,0,0,0,0,1,[t]here's,only,so,much,anyone
1,-1,0,4,2,0,3,despite,its,many,infuriating,flaws
1,3,0,2,0,0,5,if,it,seems,like,a
0,-2,0,2,0,0,0,cassavetes,thinks,he's,making,dog
0,-2,0,2,0,0,0,no,telegraphing,is,too,obvious
1,-1,0,1,0,0,0,sex,is,one,of,those
0,-1,0,1,0,0,0,a,boring,",",formulaic,mix
1,2,0,0,0,0,2,remarkably,accessible,and,affecting,.
0,1,0,1,0,0,2,first,good,",",then,bothersome
1,0,0,2,0,0,2,decasia,is,what,has,happened
1,0,0,1,0,0,1,filled,with,alexandre,desplat's,haunting
1,-2,0,3,0,0,1,most,impressive,",",though,","
1,4,0,0,0,0,4,return,to,never,land,is
0,1,0,0,0,0,1,a,soggy,",",cliche-bound,epic-horror
0,-1,0,3,0,1,2,it's,hard,to,know,whether
0,-1,0,3,0,0,2,the,action,is,reasonably,well-done
1,4,0,0,0,0,4,.,.,.,spiced,with
1,-2,0,2,0,0,0,a,sober,and,affecting,chronicle
0,1,0,0,0,0,1,this,is,a,throwaway,","
0,-3,0,3,0,0,0,without,the,dark,spookiness,of
0,-2,0,4,0,0,2,like,so,many,other,allegedly
0,1,0,2,0,0,3,however,stale,the,material,","
0,-2,0,2,0,0,0,mckay,deflates,his,piece,of
0,0,0,2,0,0,2,mattei's,underdeveloped,effort,here,is
0,-1,0,3,0,0,2,a,pathetic,exploitation,film,that
1,0,0,1,0,0,1,a,smart,",",arch,and
1,2,0,1,0,0,3,from,spiritual,rebirth,to,bruising
1,1,0,1,0,0,2,sturdy,",",entertaining,period,drama
0,1,0,1,0,0,2,the,journey,toward,redemption,feels
1,0,0,1,0,0,1,a,flawed,but,engrossing,thriller
0,-3,0,4,0,0,1,hoffman,waits,too,long,to
0,-1,0,1,0,0,0,why,spend,$9,on,the
0,-1,0,2,0,0,1,kidman,is,really,the,only
0,3,0,0,0,1,3,with,mcconaughey,in,an,entirely
1,2,0,0,0,0,2,you,won't,like,roger,","
1,-2,0,2,0,0,0,they,crush,each,other,under
0,-3,0,3,0,0,0,aggressive,self-glorification,and,a,manipulative
0,-1,0,2,0,0,1,the,images,are,usually,abbreviated
1,-1,0,3,0,0,2,if,it,tried,to,do
0,2,0,0,0,0,2,if,you,think,it's,a
1,2,0,0,0,0,2,resourceful,and,ingenious,entertainment,.
0,-3,0,6,0,0,3,too,campy,to,work,as
1,2,0,0,0,0,2,i,love,the,opening,scenes
1,0,0,1,0,0,1,an,enjoyable,feel-good,family,comedy
1,1,0,1,0,0,2,the,characters,are,complex,and
1,1,0,0,0,0,1,if,this,movie,leaves,you
1,-2,0,2,0,0,0,by,not,averting,his,eyes
0,1,0,1,0,0,2,this,movie,is,maddening,.
1,1,0,1,0,0,2,much,of,what,we,see
0,2,0,0,0,0,2,in,the,new,guy,","
0,-2,0,2,0,0,0,stuffy,",",full,of,itself
0,-1,0,2,0,0,1,watching,harris,ham,it,up
1,0,0,0,0,0,0,possession,is,elizabeth,barrett,browning
1,2,0,1,0,0,3,brilliantly,explores,the,conflict,between
0,2,0,1,0,0,3,it's,a,bad,sign,when
0,-1,0,3,0,0,2,a,perplexing,example,of,promise
0,0,0,1,0,0,1,could,the,country,bears,really
1,5,0,1,0,1,6,parker,holds,true,to,wilde's
0,2,0,1,0,0,3,this,movie,feel,more,like
0,0,0,1,0,0,1,nothing,more,or,less,than
0,-1,0,1,0,0,0,for,the,most,part,","
0,2,0,0,0,0,2,it,would,be,great,to
1,-3,0,3,0,0,0,denis,forges,out,of,the
1,0,0,0,0,0,0,'interesante,y,disfrutable,trabajo,gracias
0,1,0,0,0,0,1,if,high,crimes,were,any
1,3,0,2,0,0,5,despite,a,quieter,middle,section
1,2,0,0,0,0,2,rare,birds,has,more,than
1,-1,0,2,0,0,1,this,bracingly,truthful,antidote,to
0,1,0,0,0,0,1,love,may,have,been,in
0,0,0,0,0,0,0,[carvey's],characters,are,both,overplayed
0,1,0,0,0,1,1,just,not,campy,enough,UNK
0,3,0,2,0,0,5,i,wish,windtalkers,had,had
0,-1,0,1,0,0,0,a,semi-autobiographical,film,that's,so
0,1,0,0,0,0,1,the,only,excitement,comes,when
0,1,0,2,0,0,3,never,again,swings,between,false
0,0,0,0,0,0,0,the,ending,is,a,cop-out
1,4,0,2,0,0,6,one,of,the,best,films
0,0,0,1,0,0,1,a,punch,line,without,a
0,1,0,0,0,0,1,a,benign,but,forgettable,sci-fi
1,3,0,1,0,0,4,polished,korean,political-action,film,is
0,2,0,1,0,0,3,jacobi,",",the,most,fluent
0,-1,0,2,0,0,1,less,dizzying,than,just,dizzy
0,-1,0,1,0,0,0,its,save-the-planet,message,clashes,with
1,0,0,1,0,0,1,same,song,",",second,verse
0,-1,0,3,1,0,2,i,know,we're,not,supposed
1,2,0,0,0,0,2,stay,clear,of,reminding,yourself
1,1,0,0,0,0,1,below,may,not,mark,mr
1,1,0,1,0,0,2,the,film,sounds,like,the
1,0,0,0,0,0,0,desta,vez,",",columbus,capturou
0,0,0,0,0,0,0,a,by-the-numbers,patient/doctor,pic,that
0,-1,0,3,0,0,2,queen,of,the,damned,as
1,-1,0,3,0,0,2,compelling,as,it,is,exotic
1,-2,0,3,1,0,1,it's,the,type,of,film
0,1,0,1,0,0,2,the,best,that,can,be
1,4,0,0,0,0,4,[haynes'],homage,to,such,films
0,-3,0,3,0,0,0,trying,to,make,head,or
1,0,0,0,0,0,0,'compleja,e,intelectualmente,retadora,","
1,1,0,1,0,0,2,charles',entertaining,film,chronicles,seinfeld's
1,0,0,1,0,0,1,the,comic,performances,are,all
0,3,0,0,0,0,3,while,benigni,(,who,stars
0,2,0,0,0,0,2,a,mean-spirited,film,made,by
1,0,0,1,0,0,1,perhaps,no,picture,ever,made
0,-1,0,2,1,0,1,it's,not,a,bad,premise
0,-2,0,2,0,0,0,manages,to,be,both,repulsively
0,-2,0,3,0,0,1,the,movie,eventually,snaps,under
0,0,0,2,0,0,2,aside,from,showing,us,in
1,-1,0,1,0,0,0,the,film's,snags,and,stumblings
0,-2,0,4,1,0,2,bears,is,bad,.,not
0,1,0,0,0,1,1,it's,got,the,brawn,","
1,3,0,1,0,0,4,human,resources,was,a,good
1,0,0,0,0,0,0,uno,de,los,policiales,ms
0,1,0,0,0,0,1,a,moving,picture,that,does
0,-2,0,2,0,0,0,the,movie,has,a,script
0,5,0,0,0,0,5,the,makers,of,divine,secrets
1,-3,0,3,0,0,0,although,it's,a,bit,smug
1,0,0,1,0,0,1,the,pleasures,that,it,does
0,3,0,2,0,0,5,so,devoid,of,any,kind
0,2,0,0,0,0,2,on,the,bright,side,","
0,0,0,0,0,0,0,goes,on,and,on,to
1,3,0,0,0,0,3,[a],superbly,controlled,",",passionate
0,1,0,0,0,0,1,no,",",it's,not,nearly
0,1,0,2,0,0,3,might,have,been,better,off
0,0,0,1,0,0,1,makes,for,a,pretty,unpleasant
0,0,0,1,0,0,1,gooding,offers,a,desperately,ingratiating
0,-1,0,3,0,0,2,so,earnest,and,well-meaning,","
1,0,0,0,0,0,0,'stock,up,on,silver,bullets
0,-4,0,4,0,0,0,the,plot,is,nothing,but
0,-2,0,2,0,0,0,as,crimes,go,",",writer-director
0,3,0,0,0,0,3,george,",",hire,a,real
1,1,0,0,0,0,1,seldom,has,a,movie,so
0,0,0,1,0,1,1,there,seems,to,be,no
0,-1,0,1,0,0,0,the,pool,drowned,me,in
1,2,0,2,0,0,4,uses,sharp,humor,and,insight
1,0,0,0,0,0,0,remove,spider-man,the,movie,from
0,0,0,1,0,0,1,.,.,.,this,movie
1,3,0,0,0,0,3,a,love,for,films,shines
0,-1,0,4,0,0,3,every,so,often,a,film
1,1,0,1,0,0,2,as,a,director,",",mr
0,2,0,1,0,1,3,if,the,movie,were,all
1,2,0,2,0,0,4,a,dream,cast,of,solid
1,0,0,0,0,0,0,life,on,the,rez,is
0,-1,0,1,0,0,0,moderately,involving,despite,bargain-basement,photography
1,0,0,1,0,0,1,in,all,fairness,",",i
0,-1,0,1,0,0,0,an,unwise,amalgam,of,broadcast
1,1,0,0,0,0,1,unfolds,in,a,low-key,","
0,-2,0,3,0,0,1,on,a,cutting,room,floor
0,2,0,0,0,0,2,i,can,take,infantile,humor
1,3,0,0,0,0,3,a,must-see,for,the,david
0,1,0,3,0,0,4,good,for,a,few,unintentional
1,5,0,1,0,0,6,rich,in,detail,",",gorgeously
1,2,0,0,0,1,2,salma,goes,native,and,she's
1,-1,0,2,0,0,1,schtte's,dramatic,snapshot,of,the
0,1,0,1,0,0,2,.,.,.,turns,so
1,2,0,0,0,0,2,a,special,kind,of,movie
0,-3,0,3,0,0,0,benigni,presents,himself,as,the
0,0,0,0,0,0,0,this,is,nothing,but,familiar
1,-3,0,3,0,0,0,a,simmering,psychological,drama,in
0,2,0,0,0,0,2,nothing,more,than,an,amiable
1,-1,0,1,0,0,0,it,reaffirms,life,as,it
0,-1,0,1,0,0,0,how,on,earth,",",or
0,0,0,1,0,1,1,a,straight-ahead,thriller,that,never
1,2,0,1,0,0,3,charming,and,funny,(,but
0,3,0,1,0,1,4,cold,and,scattered,",",minority
1,3,0,3,0,0,6,it,has,the,courage,to
1,1,0,1,0,0,2,this,is,human,comedy,at
1,-1,0,1,0,0,0,a,beguiling,splash,of,pastel
0,-4,0,5,0,0,1,it's,so,full,of,wrong
1,0,0,1,0,0,1,the,last,scenes,of,the
1,0,0,2,0,0,2,a,map,of,the,inner
1,3,0,1,0,0,4,immersing,us,in,the,endlessly
0,0,0,0,0,0,0,you,can,practically,smell,the
1,0,0,1,0,0,1,a,solid,piece,of,journalistic
1,3,0,0,0,0,3,writer/director,alexander,payne,(,election
1,1,0,1,1,0,2,cho's,fearless,in,picking,apart
0,1,0,0,0,0,1,technically,",",the,film,is
1,2,0,1,0,0,3,it,has,the,charm,of
0,-3,0,4,0,0,1,.,.,.,a,complete
0,-1,0,2,0,0,1,it,makes,me,feel,weird
1,0,0,1,0,0,1,it's,the,chemistry,between,the
0,-1,0,2,0,0,1,for,single,digits,kidlets,stuart
1,2,0,2,0,0,4,it's,hard,to,fairly,judge
0,-1,0,2,0,0,1,a,little,too,pat,for
1,2,0,0,0,0,2,the,most,amazing,super-sized,dosage
0,1,0,0,0,0,1,yes,",",i,have,given
1,4,0,0,0,0,4,a,stunning,piece,of,visual
0,-4,0,5,1,0,1,sex,ironically,has,little,to
1,2,0,0,0,0,2,if,you,love,motown,music
1,1,0,0,0,0,1,renner's,performance,as,dahmer,is
1,-2,0,2,0,0,0,an,absorbing,and,unsettling,psychological
0,0,0,0,0,0,0,the,picture,is,a,primer
1,-1,0,2,0,0,1,it,has,the,ability,to
0,1,0,1,0,0,2,it,winds,up,moving,in
1,1,0,0,0,0,1,occasionally,amateurishly,made,but,a
0,-1,0,1,0,0,0,it,comes,off,as,so
0,-3,0,4,0,0,1,the,movie,is,a,desperate
0,-3,0,3,0,0,0,bad,.,very,bad,.
0,0,0,1,0,0,1,there's,more,scatological,action,in
0,-1,0,2,0,1,1,mckay,seems,embarrassed,by,his
0,0,0,0,0,0,0,chao,was,chen,kaige's,assistant
0,0,0,0,0,0,0,guillen,rarely,gets,beneath,the
0,1,0,0,0,0,1,if,you,want,a,movie
0,-1,0,1,0,0,0,a,very,depressing,movie,of
0,-5,0,6,0,0,1,it,is,too,bad,that
0,-1,0,2,0,0,1,one,of,those,strained,caper
0,1,0,2,0,1,3,as,a,rumor,of,angels
0,0,0,0,0,0,0,.,.,.,has,virtually
1,2,0,0,0,0,2,definitely,funny,stuff,",",but
0,1,0,1,0,0,2,puts,on,airs,of,a
1,-2,0,2,0,0,0,despite,its,flaws,",",secretary
0,0,0,1,0,0,1,it,gets,old,quickly,.
1,2,0,0,0,0,2,a,movie,that,will,touch
0,-1,0,3,0,0,2,a,frustrating,combination,of,strained
1,1,0,1,1,0,2,no,sophomore,slump,for,director
1,-1,0,2,0,0,1,"""",the,mothman,prophecies,""""
0,1,0,2,1,1,3,it's,sincere,to,a,fault
0,-1,0,2,0,1,1,dripping,with,cliche,and,bypassing
1,-1,0,1,0,0,0,an,impossible,romance,",",but
0,1,0,0,0,0,1,as,saccharine,movies,go,","
1,1,0,0,0,0,1,miyazaki,is,one,of,world
0,-3,0,3,0,0,0,in,comparison,to,his,earlier
0,-1,0,2,0,0,1,though,catch,me,if,you
0,0,0,0,0,0,0,a,one-trick,pony,whose,few
0,-1,0,1,0,0,0,they,takes,a,long,time
0,0,0,1,0,0,1,i,doubt,anyone,will,remember
1,0,0,2,0,0,2,the,continued,good,chemistry,between
1,1,0,1,0,0,2,it's,a,lovely,",",eerie
1,1,0,0,0,0,1,smart,and,taut,.,UNK
1,1,0,0,0,0,1,as,a,witness,to,several
0,-1,0,2,0,0,1,wallace,seems,less,like,he's
0,-1,0,2,0,0,1,the,only,entertainment,you'll,derive
0,1,0,3,0,0,4,imagine,kevin,smith,",",the
1,-1,0,3,0,0,2,a,simple,",",but,gritty
1,1,0,0,0,0,1,from,the,opening,strains,of
1,0,0,1,0,0,1,undoubtedly,the,scariest,movie,ever
1,0,0,1,0,0,1,it,dares,to,be,a
1,2,0,1,0,0,3,[,"""",take,care,of
1,0,0,2,0,0,2,the,film,is,a,fierce
1,-1,0,3,0,0,2,a,great,comedy,filmmaker,knows
1,1,0,1,0,0,2,disney,has,always,been,hit-or-miss
1,1,0,0,0,0,1,visually,striking,and,viscerally,repellent
0,-1,0,1,0,0,0,bluto,blutarsky,",",we,miss
1,2,0,0,0,0,2,the,director,explores,all,three
0,0,0,0,0,0,0,john,mctiernan's,botched,remake,may
1,2,0,0,0,0,2,isabelle,huppert,excels,as,the
0,2,0,1,0,0,3,just,a,kiss,is,a
0,-2,0,2,0,0,0,.,.,.,a,pretentious
1,0,0,2,0,0,2,ramsay,",",as,in,ratcatcher
1,-2,0,3,0,0,1,the,film,delivers,what,it
0,-2,0,2,0,0,0,rife,with,nutty,cliches,and
1,2,0,0,0,0,2,an,intriguing,and,entertaining,introduction
1,0,0,1,0,0,1,this,one,is,not,nearly
1,-2,0,2,0,0,0,it,understands,",",in,a
0,1,0,0,0,0,1,it,gets,the,details,of
1,4,0,0,0,0,4,this,is,as,respectful,a
0,1,0,0,0,0,1,a,crisply,made,movie,that
0,-2,0,3,0,0,1,the,plot,is,plastered,with
0,1,0,0,0,0,1,amazingly,dopey,.,UNK,UNK
0,0,0,0,0,0,0,it's,everything,you,don't,go
1,2,0,0,0,0,2,the,year,2002,has,conjured
1,-2,0,2,0,0,0,as,if,to,prove,a
0,0,0,1,0,0,1,new,best,friend's,playboy-mansion,presentation
1,0,0,1,0,0,1,it's,good,to,see,michael
1,5,0,1,0,0,6,leaping,from,one,arresting,image
0,0,0,2,0,0,2,an,affable,but,undernourished,romantic
1,3,0,1,0,0,4,an,offbeat,",",sometimes,gross
1,2,0,0,0,0,2,behan,himself,knew,how,to
0,-3,0,3,0,0,0,reggio,and,glass,so,rhapsodize
1,1,0,1,0,1,2,hollywood,ending,is,not,show-stoppingly
0,2,0,0,0,0,2,there,is,something,in,full
0,2,0,0,0,0,2,predecessors,the,mummy,and,the
0,0,0,1,0,0,1,truth,to,tell,",",if
1,3,0,1,0,0,4,you'll,be,left,with,the
0,0,0,1,0,0,1,devoid,of,any,of,the
0,0,0,0,0,0,0,it's,a,very,tasteful,rock
0,-1,0,1,0,0,0,instead,of,panoramic,sweep,","
1,2,0,0,0,0,2,makes,s&m,seem,very,romantic
1,1,0,0,0,0,1,binoche,and,magimel,are,perfect
0,0,0,0,0,0,0,not,exactly,the,bees,knees
1,3,0,1,0,0,4,with,an,unflappable,air,of
1,1,0,3,0,0,4,it's,an,example,of,sophisticated
1,3,0,0,0,0,3,if,you're,a,fan,of
1,2,0,2,0,0,4,writer,and,director,otar,iosseliani's
1,3,0,0,0,0,3,a,raunchy,and,frequently,hilarious
0,-1,0,2,0,0,1,a,kilted,jackson,is,an
0,0,0,1,0,0,1,the,plot,convolutions,ultimately,add
1,2,0,0,0,0,2,even,the,digressions,are,funny
1,2,0,0,0,0,2,it's,a,piece,of,handiwork
1,2,0,0,0,0,2,whether,or,not,you're,enlightened
1,1,0,0,0,0,1,the,very,definition,of,the
1,0,0,1,0,0,1,between,the,drama,of,cube
1,0,0,1,0,0,1,combines,improbable,melodrama,(,gored
0,-1,0,1,0,0,0,so,few,movies,explore,religion
1,-2,0,2,0,0,0,there's,so,much,to,look
0,0,0,1,0,0,1,there's,plenty,of,style,in
0,0,0,1,0,0,1,the,name,says,it,all
0,0,0,2,0,0,2,fans,of,the,tv,series
1,-1,0,1,0,0,0,you,won't,have,any,trouble
0,0,0,2,0,0,2,this,remake,of,lina,wertmuller's
